epoch_ns,gpu,power_mw,temperature_c,sm_clock_mhz,mem_clock_mhz,gpu_util_percent,memory_util_percent
1784445429336364374,1,120751,37,2857,13801,18,9
1784445429386362032,0,124078,34,2932,13801,17,8
1784445429386362032,1,120751,37,2857,13801,18,9
1784445429436361893,0,124078,34,2932,13801,17,8
1784445429436361893,1,120751,37,2857,13801,18,9
1784445429486358937,0,124078,34,2932,13801,17,8
1784445429486358937,1,120751,37,2857,13801,18,9
1784445429536361939,0,124078,34,2932,13801,17,8
1784445429536361939,1,120751,37,2857,13801,18,9
1784445429586353288,0,124078,34,2932,13801,17,8
1784445429586353288,1,120751,37,2857,13801,18,9
1784445429636360468,0,124078,34,2932,13801,17,8
1784445429636360468,1,120762,36,2857,13801,17,8
1784445429686349738,0,124078,34,2932,13801,17,8
1784445429686349738,1,120762,36,2857,13801,17,8
1784445429736358954,0,123944,34,2932,13801,17,8
1784445429736358954,1,120762,36,2857,13801,17,8
1784445429786352078,0,123944,34,2932,13801,17,8
1784445429786352078,1,120762,36,2857,13801,17,8
1784445429836361002,0,123944,34,2932,13801,17,8
1784445429836361002,1,120762,36,2857,13801,17,8
1784445429886354882,0,123944,34,2932,13801,17,8
1784445429886354882,1,120762,36,2857,13801,17,8
1784445429936364381,0,123944,34,2932,13801,17,8
1784445429936364381,1,120762,36,2857,13801,17,8
1784445429986360073,0,123944,34,2932,13801,17,8
1784445429986360073,1,120762,36,2857,13801,17,8
1784445430036363091,0,123944,34,2932,13801,17,8
1784445430036363091,1,120762,36,2857,13801,17,8
1784445430086362549,0,123944,34,2932,13801,17,8
1784445430086362549,1,120762,36,2857,13801,17,8
1784445430136364971,0,123944,34,2932,13801,17,8
1784445430136364971,1,120221,36,2857,13801,17,8
1784445430186363178,0,123944,34,2932,13801,17,8
1784445430186363178,1,120221,36,2857,13801,17,8
1784445430236361961,0,123743,34,2932,13801,17,8
1784445430236361961,1,120221,36,2857,13801,17,8
1784445430286356559,0,123743,34,2932,13801,17,8
1784445430286356559,1,120221,36,2857,13801,17,8
1784445430336364980,0,123743,34,2932,13801,17,8
1784445430336364980,1,120221,36,2857,13801,17,8
1784445430386362857,0,123743,34,2932,13801,17,8
1784445430386362857,1,120221,36,2857,13801,17,8
1784445430436362184,0,123743,34,2932,13801,17,8
1784445430436362184,1,120221,36,2857,13801,17,8
1784445430486361646,0,123743,34,2932,13801,17,8
1784445430486361646,1,120221,36,2857,13801,17,8
1784445430536361511,0,123743,34,2932,13801,17,8
1784445430536361511,1,120221,36,2857,13801,17,8
1784445430586361909,0,123743,34,2932,13801,17,8
1784445430586361909,1,120221,36,2857,13801,17,8
1784445430636362179,0,123743,34,2932,13801,17,8
1784445430636362179,1,120005,36,2857,13801,17,8
1784445430686366406,0,123743,34,2932,13801,17,8
1784445430686366406,1,120005,36,2857,13801,17,8
1784445430736363602,0,123946,34,2925,13801,16,8
1784445430736363602,1,120005,36,2857,13801,17,8
1784445430786362611,0,123946,34,2925,13801,16,8
1784445430786362611,1,120005,36,2857,13801,17,8
1784445430836361224,0,123946,34,2925,13801,16,8
1784445430836361224,1,120005,36,2857,13801,17,8
1784445430886351206,0,123946,34,2925,13801,16,8
1784445430886351206,1,120005,36,2857,13801,17,8
1784445430936361138,0,123946,34,2925,13801,16,8
1784445430936361138,1,120005,36,2857,13801,17,8
1784445430986367618,0,123946,34,2925,13801,16,8
1784445430986367618,1,120005,36,2857,13801,17,8
1784445431036361572,0,123946,34,2925,13801,16,8
1784445431036361572,1,120005,36,2857,13801,17,8
1784445431086353391,0,123946,34,2925,13801,16,8
1784445431086353391,1,120005,36,2857,13801,17,8
1784445431136360927,0,123946,34,2925,13801,16,8
1784445431136360927,1,120704,37,2857,13801,17,8
1784445431186352235,0,123946,34,2925,13801,16,8
1784445431186352235,1,120704,37,2857,13801,17,8
1784445431236360750,0,123087,35,2917,13801,18,9
1784445431236360750,1,120704,37,2857,13801,17,8
1784445431286351951,0,123087,35,2917,13801,18,9
1784445431286351951,1,120704,37,2857,13801,17,8
1784445431336359687,0,123087,35,2917,13801,18,9
1784445431336359687,1,120704,37,2857,13801,17,8
1784445431386354168,0,123087,35,2917,13801,18,9
1784445431386354168,1,120704,37,2857,13801,17,8
1784445431436359034,0,123087,35,2917,13801,18,9
1784445431436359034,1,120704,37,2857,13801,17,8
1784445431486349244,0,123087,35,2917,13801,18,9
1784445431486349244,1,120704,37,2857,13801,17,8
1784445431536358402,0,123087,35,2917,13801,18,9
1784445431536358402,1,120704,37,2857,13801,17,8
1784445431586348881,0,123087,35,2917,13801,18,9
1784445431586348881,1,120704,37,2857,13801,17,8
1784445431636358506,0,123087,35,2917,13801,18,9
1784445431636358506,1,121124,37,2857,13801,17,8
1784445431686351215,0,123087,35,2917,13801,18,9
1784445431686351215,1,121124,37,2857,13801,17,8
1784445431736363911,0,123305,35,2917,13801,17,8
1784445431736363911,1,121124,37,2857,13801,17,8
1784445431786350584,0,123305,35,2917,13801,17,8
1784445431786350584,1,121124,37,2857,13801,17,8
1784445431836362140,0,123305,35,2917,13801,17,8
1784445431836362140,1,121124,37,2857,13801,17,8
1784445431886350925,0,123305,35,2917,13801,17,8
1784445431886350925,1,121124,37,2857,13801,17,8
1784445431936358624,0,123305,35,2917,13801,17,8
1784445431936358624,1,121124,37,2857,13801,17,8
1784445431986352443,0,123305,35,2917,13801,17,8
1784445431986352443,1,121124,37,2857,13801,17,8
1784445432036358562,0,123305,35,2917,13801,17,8
1784445432036358562,1,121124,37,2857,13801,17,8
1784445432086350102,0,123305,35,2917,13801,17,8
1784445432086350102,1,121124,37,2857,13801,17,8
1784445432136358733,0,123305,35,2917,13801,17,8
1784445432136358733,1,121127,37,2857,13801,17,9
1784445432186348711,0,123305,35,2917,13801,17,8
1784445432186348711,1,121127,37,2857,13801,17,9
1784445432236358538,0,124404,35,2917,13801,17,8
1784445432236358538,1,121127,37,2857,13801,17,9
1784445432286348618,0,124404,35,2917,13801,17,8
1784445432286348618,1,121127,37,2857,13801,17,9
1784445432336358510,0,124404,35,2917,13801,17,8
1784445432336358510,1,121127,37,2857,13801,17,9
1784445432386352184,0,124404,35,2917,13801,17,8
1784445432386352184,1,121127,37,2857,13801,17,9
1784445432436359038,0,124404,35,2917,13801,17,8
1784445432436359038,1,121127,37,2857,13801,17,9
1784445432486349048,0,124404,35,2917,13801,17,8
1784445432486349048,1,121127,37,2857,13801,17,9
1784445432536358410,0,124404,35,2917,13801,17,8
1784445432536358410,1,121127,37,2857,13801,17,9
1784445432586355395,0,124404,35,2917,13801,17,8
1784445432586355395,1,121127,37,2857,13801,17,9
1784445432636364218,0,124404,35,2917,13801,17,8
1784445432636364218,1,121166,37,2857,13801,17,8
1784445432686362147,0,124404,35,2917,13801,17,8
1784445432686362147,1,121166,37,2857,13801,17,8
1784445432736361674,0,123675,35,2917,13801,17,8
1784445432736361674,1,121166,37,2857,13801,17,8
1784445432786352242,0,123675,35,2917,13801,17,8
1784445432786352242,1,121166,37,2857,13801,17,8
1784445432836360224,0,123675,35,2917,13801,17,8
1784445432836360224,1,121166,37,2857,13801,17,8
1784445432886348909,0,123675,35,2917,13801,17,8
1784445432886348909,1,121166,37,2857,13801,17,8
1784445432936361791,0,123675,35,2917,13801,17,8
1784445432936361791,1,121166,37,2857,13801,17,8
