block,completion_tokens,dispatch_first,finish_reason,format,phase,physical_gpu,prompt_tokens,request_end_ns,request_index,request_start_ns,session_end_ns,session_start_ns,total_tokens
6,256,GPTQ,length,GPTQ,2,0,27,1784445712451283307,1,1784445695161744350,1784445712451667787,1784445695161344485,283
6,256,GPTQ,length,GPTQ,2,0,29,1784445712451220329,2,1784445695161993434,1784445712451667787,1784445695161344485,285
6,256,GPTQ,length,GPTQ,2,0,23,1784445712450882699,3,1784445695162253836,1784445712451667787,1784445695161344485,279
6,256,GPTQ,length,GPTQ,2,0,19,1784445712451341683,4,1784445695162576024,1784445712451667787,1784445695161344485,275
6,256,GPTQ,length,GPTQ,2,0,24,1784445712451074806,5,1784445695162866203,1784445712451667787,1784445695161344485,280
6,256,GPTQ,length,GPTQ,2,0,21,1784445712451134525,6,1784445695163156641,1784445712451667787,1784445695161344485,277
6,256,GPTQ,length,GPTQ,2,0,27,1784445712450559437,7,1784445695163407537,1784445712451667787,1784445695161344485,283
7,256,AWQ,length,AWQ,2,1,31,1784445730696772140,0,1784445713496028043,1784445730699362390,1784445713495759167,287
7,256,AWQ,length,AWQ,2,1,27,1784445730698932539,1,1784445713496336999,1784445730699362390,1784445713495759167,283
7,256,AWQ,length,AWQ,2,1,29,1784445730699001682,2,1784445713496605086,1784445730699362390,1784445713495759167,285
7,256,AWQ,length,AWQ,2,1,23,1784445730698852602,3,1784445713496865234,1784445730699362390,1784445713495759167,279
7,256,AWQ,length,AWQ,2,1,19,1784445730698295692,4,1784445713497174012,1784445730699362390,1784445713495759167,275
7,256,AWQ,length,AWQ,2,1,24,1784445730698792369,5,1784445713497563218,1784445730699362390,1784445713495759167,280
7,256,AWQ,length,AWQ,2,1,21,1784445730699059780,6,1784445713497874321,1784445730699362390,1784445713495759167,277
7,256,AWQ,length,AWQ,2,1,27,1784445730698608266,7,1784445713498144909,1784445730699362390,1784445713495759167,283
7,256,AWQ,length,GPTQ,2,0,31,1784445731100099777,0,1784445713646042087,1784445731103361780,1784445713645932136,287
7,256,AWQ,length,GPTQ,2,0,27,1784445731103012260,1,1784445713646247824,1784445731103361780,1784445713645932136,283
7,256,AWQ,length,GPTQ,2,0,29,1784445731102284592,2,1784445713646474472,1784445731103361780,1784445713645932136,285
7,256,AWQ,length,GPTQ,2,0,23,1784445731102665694,3,1784445713646761771,1784445731103361780,1784445713645932136,279
7,256,AWQ,length,GPTQ,2,0,19,1784445731102603398,4,1784445713647104925,1784445731103361780,1784445713645932136,275
7,256,AWQ,length,GPTQ,2,0,24,1784445731102730858,5,1784445713647412348,1784445731103361780,1784445713645932136,280
7,256,AWQ,length,GPTQ,2,0,21,1784445731102948282,6,1784445713647673520,1784445731103361780,1784445713645932136,277
7,256,AWQ,length,GPTQ,2,0,27,1784445731103070235,7,1784445713647864361,1784445731103361780,1784445713645932136,283
8,256,GPTQ,length,AWQ,2,1,31,1784445749432319836,0,1784445732253978946,1784445749436847224,1784445732253849297,287
8,256,GPTQ,length,AWQ,2,1,27,1784445749435071928,1,1784445732254198417,1784445749436847224,1784445732253849297,283
8,256,GPTQ,length,AWQ,2,1,29,1784445749434863414,2,1784445732254411211,1784445749436847224,1784445732253849297,285
8,256,GPTQ,length,AWQ,2,1,23,1784445749435982062,3,1784445732254623709,1784445749436847224,1784445732253849297,279
8,256,GPTQ,length,AWQ,2,1,19,1784445749435820378,4,1784445732254943691,1784445749436847224,1784445732253849297,275
8,256,GPTQ,length,AWQ,2,1,24,1784445749434532265,5,1784445732255130153,1784445749436847224,1784445732253849297,280
8,256,GPTQ,length,AWQ,2,1,21,1784445749434936818,6,1784445732255359168,1784445749436847224,1784445732253849297,277
8,256,GPTQ,length,AWQ,2,1,27,1784445749435155835,7,1784445732255650969,1784445749436847224,1784445732253849297,283
8,256,GPTQ,length,GPTQ,2,0,31,1784445749474140880,0,1784445732104056585,1784445749474873112,1784445732103894047,287
8,256,GPTQ,length,GPTQ,2,0,27,1784445749472281390,1,1784445732104360337,1784445749474873112,1784445732103894047,283
8,256,GPTQ,length,GPTQ,2,0,29,1784445749474438593,2,1784445732104644199,1784445749474873112,1784445732103894047,285
