block,completion_tokens,dispatch_first,finish_reason,format,phase,physical_gpu,prompt_tokens,request_end_ns,request_index,request_start_ns,session_end_ns,session_start_ns,total_tokens
6,512,GPTQ,length,GPTQ,2,0,27,1784446622943898456,1,1784446588329630835,1784446622944671083,1784446588329213972,539
6,512,GPTQ,length,GPTQ,2,0,29,1784446622944298580,2,1784446588329897573,1784446622944671083,1784446588329213972,541
6,512,GPTQ,length,GPTQ,2,0,23,1784446622944365461,3,1784446588330230941,1784446622944671083,1784446588329213972,535
6,512,GPTQ,length,GPTQ,2,0,19,1784446622943603998,4,1784446588330458102,1784446622944671083,1784446588329213972,531
6,512,GPTQ,length,GPTQ,2,0,24,1784446622944021078,5,1784446588330718808,1784446622944671083,1784446588329213972,536
6,512,GPTQ,length,GPTQ,2,0,21,1784446622943958596,6,1784446588331013235,1784446622944671083,1784446588329213972,533
6,512,GPTQ,length,GPTQ,2,0,27,1784446622944220182,7,1784446588331337434,1784446622944671083,1784446588329213972,539
7,512,AWQ,length,AWQ,2,1,31,1784446658657566493,0,1784446624030319928,1784446658660776670,1784446624030022003,543
7,512,AWQ,length,AWQ,2,1,27,1784446658660363512,1,1784446624030612601,1784446658660776670,1784446624030022003,539
7,512,AWQ,length,AWQ,2,1,29,1784446658660433828,2,1784446624030883254,1784446658660776670,1784446624030022003,541
7,512,AWQ,length,AWQ,2,1,23,1784446658660034255,3,1784446624031202983,1784446658660776670,1784446624030022003,535
7,512,AWQ,length,AWQ,2,1,19,1784446658660280384,4,1784446624031493888,1784446658660776670,1784446624030022003,531
7,512,AWQ,length,AWQ,2,1,24,1784446658659728465,5,1784446624031844666,1784446658660776670,1784446624030022003,536
7,512,AWQ,length,AWQ,2,1,21,1784446658660221502,6,1784446624032070361,1784446658660776670,1784446624030022003,533
7,512,AWQ,length,AWQ,2,1,27,1784446658660492670,7,1784446624032338795,1784446658660776670,1784446624030022003,539
7,512,AWQ,length,GPTQ,2,0,31,1784446658907376321,0,1784446624180340447,1784446658909981180,1784446624180222131,543
7,512,AWQ,length,GPTQ,2,0,27,1784446658909391081,1,1784446624180559048,1784446658909981180,1784446624180222131,539
7,512,AWQ,length,GPTQ,2,0,29,1784446658909329562,2,1784446624180789409,1784446658909981180,1784446624180222131,541
7,512,AWQ,length,GPTQ,2,0,23,1784446658909132109,3,1784446624181033020,1784446658909981180,1784446624180222131,535
7,512,AWQ,length,GPTQ,2,0,19,1784446658908943954,4,1784446624181404717,1784446658909981180,1784446624180222131,531
7,512,AWQ,length,GPTQ,2,0,24,1784446658909642759,5,1784446624181671955,1784446658909981180,1784446624180222131,536
7,512,AWQ,length,GPTQ,2,0,21,1784446658909704595,6,1784446624181915138,1784446658909981180,1784446624180222131,533
7,512,AWQ,length,GPTQ,2,0,27,1784446658909565300,7,1784446624182106329,1784446658909981180,1784446624180222131,539
8,512,GPTQ,length,AWQ,2,1,31,1784446694636904505,0,1784446660060599809,1784446694640084406,1784446660060462157,543
8,512,GPTQ,length,AWQ,2,1,27,1784446694639376672,1,1784446660060837086,1784446694640084406,1784446660060462157,539
8,512,GPTQ,length,AWQ,2,1,29,1784446694639200816,2,1784446660061054347,1784446694640084406,1784446660060462157,541
8,512,GPTQ,length,AWQ,2,1,23,1784446694639807889,3,1784446660061311846,1784446694640084406,1784446660060462157,535
8,512,GPTQ,length,AWQ,2,1,19,1784446694639658721,4,1784446660061701003,1784446694640084406,1784446660060462157,531
8,512,GPTQ,length,AWQ,2,1,24,1784446694639605771,5,1784446660061950543,1784446694640084406,1784446660060462157,536
