epoch_ns,gpu,power_mw,temperature_c,sm_clock_mhz,mem_clock_mhz,gpu_util_percent,memory_util_percent
1784446504314659863,1,18676,32,180,405,0,0
1784446504364660045,0,8754,27,180,405,0,0
1784446504364660045,1,18676,32,180,405,0,0
1784446504414660877,0,8754,27,180,405,0,0
1784446504414660877,1,18676,32,180,405,0,0
1784446504464660726,0,8754,27,180,405,0,0
1784446504464660726,1,18676,32,180,405,0,0
1784446504514659557,0,8754,27,180,405,0,0
1784446504514659557,1,18676,32,180,405,0,0
1784446504564661374,0,8754,27,180,405,0,0
1784446504564661374,1,18676,32,180,405,0,0
1784446504614660257,0,8754,27,180,405,0,0
1784446504614660257,1,18676,32,180,405,0,0
1784446504664661122,0,8754,27,180,405,0,0
1784446504664661122,1,18676,32,180,405,0,0
1784446504714660527,0,8754,27,180,405,0,0
1784446504714660527,1,18676,32,180,405,0,0
1784446504764659942,0,8754,27,180,405,0,0
1784446504764659942,1,18676,32,180,405,0,0
1784446504814660836,0,8754,27,180,405,0,0
1784446504814660836,1,18676,32,180,405,0,0
1784446504864660824,0,8754,27,180,405,0,0
1784446504864660824,1,18757,32,180,405,0,0
1784446504914664914,0,8754,27,180,405,0,0
1784446504914664914,1,18757,32,180,405,0,0
1784446504964663693,0,8754,27,180,405,0,0
1784446504964663693,1,18757,32,180,405,0,0
1784446505014660658,0,9063,27,180,405,0,0
1784446505014660658,1,18757,32,180,405,0,0
1784446505064660599,0,9063,27,180,405,0,0
1784446505064660599,1,18757,32,180,405,0,0
1784446505114660130,0,9063,27,180,405,0,0
1784446505114660130,1,18757,32,180,405,0,0
1784446505164660374,0,9063,27,180,405,0,0
1784446505164660374,1,18757,32,180,405,0,0
1784446505214660948,0,9063,27,180,405,0,0
1784446505214660948,1,18757,32,180,405,0,0
1784446505264659962,0,9063,27,180,405,0,0
1784446505264659962,1,18757,32,180,405,0,0
1784446505314659867,0,9063,27,180,405,0,0
1784446505314659867,1,18757,32,180,405,0,0
1784446505364660222,0,9063,27,180,405,0,0
1784446505364660222,1,18757,32,180,405,0,0
1784446505414660227,0,9063,27,180,405,0,0
1784446505414660227,1,18757,32,180,405,0,0
1784446505464661176,0,9063,27,180,405,0,0
1784446505464661176,1,18757,32,180,405,0,0
1784446505514660087,0,10150,27,180,405,0,0
1784446505514660087,1,18757,32,180,405,0,0
1784446505564661168,0,10150,27,180,405,0,0
1784446505564661168,1,18757,32,180,405,0,0
1784446505614660312,0,10150,27,180,405,0,0
1784446505614660312,1,18757,32,180,405,0,0
1784446505664660568,0,10150,27,180,405,0,0
1784446505664660568,1,18757,32,180,405,0,0
1784446505714662150,0,10150,27,180,405,0,0
1784446505714662150,1,18757,32,180,405,0,0
1784446505764660746,0,10150,27,180,405,0,0
1784446505764660746,1,18757,32,180,405,0,0
1784446505814659088,0,10150,27,180,405,0,0
1784446505814659088,1,18757,32,180,405,0,0
1784446505864663009,0,10150,27,180,405,0,0
1784446505864663009,1,18915,31,180,405,0,0
1784446505914662065,0,10150,27,180,405,0,0
1784446505914662065,1,18915,31,180,405,0,0
1784446505964663979,0,10150,27,180,405,0,0
1784446505964663979,1,18915,31,180,405,0,0
1784446506014664178,0,10482,27,180,405,0,0
1784446506014664178,1,18915,31,180,405,0,0
1784446506064662438,0,10482,27,180,405,0,0
1784446506064662438,1,18915,31,180,405,0,0
1784446506114665637,0,10482,27,180,405,0,0
1784446506114665637,1,18915,31,180,405,0,0
1784446506164667386,0,10482,27,180,405,0,0
1784446506164667386,1,18915,31,180,405,0,0
1784446506214663858,0,10482,27,180,405,0,0
1784446506214663858,1,18915,31,180,405,0,0
1784446506264662862,0,10482,27,180,405,0,0
1784446506264662862,1,18915,31,180,405,0,0
1784446506314659563,0,10482,27,180,405,0,0
1784446506314659563,1,18915,31,180,405,0,0
1784446506364667742,0,10482,27,180,405,0,0
1784446506364667742,1,19328,31,180,405,0,0
1784446506414661562,0,10482,27,180,405,0,0
1784446506414661562,1,19328,31,180,405,0,0
1784446506464658916,0,10482,27,180,405,0,0
1784446506464658916,1,19328,31,180,405,0,0
1784446506514659314,0,19298,28,1155,13801,2,0
1784446506514659314,1,19328,31,180,405,0,0
1784446506564660053,0,19298,28,1155,13801,2,0
1784446506564660053,1,19328,31,180,405,0,0
1784446506614659363,0,19298,28,1155,13801,2,0
1784446506614659363,1,19328,31,180,405,0,0
1784446506664666091,0,19298,28,1155,13801,2,0
1784446506664666091,1,19328,31,180,405,0,0
1784446506714662504,0,19298,28,1155,13801,2,0
1784446506714662504,1,19328,31,180,405,0,0
1784446506764662241,0,19298,28,1155,13801,2,0
1784446506764662241,1,19328,31,180,405,0,0
1784446506814662206,0,19298,28,1155,13801,2,0
1784446506814662206,1,19328,31,180,405,0,0
1784446506864661754,0,19298,28,1155,13801,2,0
1784446506864661754,1,28088,33,2115,13801,0,0
1784446506914666462,0,19298,28,1155,13801,2,0
1784446506914666462,1,28088,33,2115,13801,0,0
1784446506964662943,0,19298,28,1155,13801,2,0
1784446506964662943,1,28088,33,2115,13801,0,0
1784446507014660748,0,38943,29,2400,13801,0,0
1784446507014660748,1,28088,33,2115,13801,0,0
1784446507064660448,0,38943,29,2400,13801,0,0
1784446507064660448,1,28088,33,2115,13801,0,0
1784446507114658596,0,38943,29,2400,13801,0,0
1784446507114658596,1,28088,33,2115,13801,0,0
1784446507164658620,0,38943,29,2400,13801,0,0
1784446507164658620,1,28088,33,2115,13801,0,0
1784446507214660919,0,38943,29,2400,13801,0,0
1784446507214660919,1,28088,33,2115,13801,0,0
1784446507264659434,0,38943,29,2400,13801,0,0
1784446507264659434,1,28088,33,2115,13801,0,0
1784446507314658655,0,38943,29,2400,13801,0,0
1784446507314658655,1,28088,33,2115,13801,0,0
1784446507364658605,0,38943,29,2400,13801,0,0
1784446507364658605,1,55710,33,2400,13801,0,0
1784446507414658392,0,38943,29,2400,13801,0,0
1784446507414658392,1,55710,33,2400,13801,0,0
1784446507464658530,0,38943,29,2400,13801,0,0
1784446507464658530,1,55710,33,2400,13801,0,0
1784446507514659574,0,55805,29,2400,13801,0,0
1784446507514659574,1,55710,33,2400,13801,0,0
1784446507564662104,0,55805,29,2400,13801,0,0
1784446507564662104,1,55710,33,2400,13801,0,0
1784446507614659886,0,55805,29,2400,13801,0,0
1784446507614659886,1,55710,33,2400,13801,0,0
1784446507664660075,0,55805,29,2400,13801,0,0
1784446507664660075,1,55710,33,2400,13801,0,0
1784446507714672743,0,55805,29,2400,13801,0,0
1784446507714672743,1,55710,33,2400,13801,0,0
1784446507764672729,0,55805,29,2400,13801,0,0
1784446507764672729,1,55710,33,2400,13801,0,0
1784446507814671599,0,55805,29,2400,13801,0,0
1784446507814671599,1,55710,33,2400,13801,0,0
1784446507864674494,0,55805,29,2400,13801,0,0
1784446507864674494,1,64244,33,2400,13801,0,0
1784446507914672795,0,55805,29,2400,13801,0,0
1784446507914672795,1,64244,33,2400,13801,0,0
1784446507964668687,0,55805,29,2400,13801,0,0
1784446507964668687,1,64244,33,2400,13801,0,0
1784446508014661022,0,55733,29,2400,14001,0,0
1784446508014661022,1,64244,33,2400,13801,0,0
1784446508064660281,0,55733,29,2400,14001,0,0
1784446508064660281,1,64244,33,2400,13801,0,0
1784446508114658886,0,55733,29,2400,14001,0,0
1784446508114658886,1,64244,33,2400,13801,0,0
1784446508164660767,0,55733,29,2400,14001,0,0
1784446508164660767,1,64244,33,2400,13801,0,0
1784446508214661774,0,55733,29,2400,14001,0,0
1784446508214661774,1,64244,33,2400,13801,0,0
1784446508264659233,0,55733,29,2400,14001,0,0
1784446508264659233,1,64244,33,2400,13801,0,0
1784446508314658697,0,55733,29,2400,14001,0,0
1784446508314658697,1,64244,33,2400,13801,0,0
1784446508364664179,0,55733,29,2400,14001,0,0
1784446508364664179,1,63833,33,2400,13801,0,0
1784446508414660150,0,55733,29,2400,14001,0,0
1784446508414660150,1,63833,33,2400,13801,0,0
1784446508464659398,0,55733,29,2400,14001,0,0
1784446508464659398,1,63833,33,2400,13801,0,0
